fee_rate,strategy_name,segment_name,horizon,diagnostic,value,count
0.0,v4.2_candidate_C,ETH_5y_full,1d,avg_forward_return_conditional_tau:tau_le_0,0.0002949079477094374,934
0.0,v4.2_candidate_C,ETH_5y_full,1d,avg_forward_return_conditional_tau:tau_0_to_0_1,9.726252230284729e-05,108
0.0,v4.2_candidate_C,ETH_5y_full,1d,avg_forward_return_conditional_tau:tau_0_1_to_0_25,0.003432005003931866,125
0.0,v4.2_candidate_C,ETH_5y_full,1d,avg_forward_return_conditional_tau:tau_0_25_to_0_5,-0.0012165148166618852,255
0.0,v4.2_candidate_C,ETH_5y_full,1d,avg_forward_return_conditional_tau:tau_gt_0_5,0.00138004608499071,402
0.0,v4.2_candidate_C,ETH_5y_full,1d,avg_forward_return_conditional_position:position_eq_0,0.0002744226253064511,1042
0.0,v4.2_candidate_C,ETH_5y_full,1d,avg_forward_return_conditional_position:position_0_to_0_05,0.003576177857285049,112
0.0,v4.2_candidate_C,ETH_5y_full,1d,avg_forward_return_conditional_position:position_0_05_to_0_10,-0.0017983981943477927,136
0.0,v4.2_candidate_C,ETH_5y_full,1d,avg_forward_return_conditional_position:position_0_10_to_0_20,0.0007928324420770847,268
0.0,v4.2_candidate_C,ETH_5y_full,1d,avg_forward_return_conditional_position:position_gt_0_20,0.0011471391479236225,266
0.0,v4.2_candidate_C,ETH_5y_full,1d,avg_forward_return_conditional_gate:gate_eq_0,,0
0.0,v4.2_candidate_C,ETH_5y_full,1d,avg_forward_return_conditional_gate:gate_0_to_0_25,,0
0.0,v4.2_candidate_C,ETH_5y_full,1d,avg_forward_return_conditional_gate:gate_0_25_to_0_50,,0
0.0,v4.2_candidate_C,ETH_5y_full,1d,avg_forward_return_conditional_gate:gate_0_50_to_0_75,,0
0.0,v4.2_candidate_C,ETH_5y_full,1d,avg_forward_return_conditional_gate:gate_gt_0_75,0.0005260505750977467,1824
0.0,v4.2_candidate_C,ETH_5y_full,5d,pct_tau_gt_0_25_and_forward_negative,0.17912087912087912,326
0.0,v4.2_candidate_C,ETH_5y_full,5d,pct_position_gt_0_10_and_forward_negative,0.13901098901098902,253
0.0,v4.2_candidate_C,ETH_5y_full,5d,pct_gate_gt_0_5_and_forward_negative,0.48516483516483516,883
0.0,v4.2_candidate_C,ETH_5y_full,5d,pct_gate_eq_0_and_forward_negative,0.0,0
0.0,v4.2_candidate_C,ETH_5y_full,5d,avg_forward_return_conditional_tau:tau_le_0,0.001410938604576963,932
