diagnostic_type,state_mode,fee_rate,strategy_name,segment_name,segment_start_date,segment_end_date,segment_days,segment_total_return,segment_annualized_return,segment_max_drawdown,segment_sharpe,segment_total_turnover,segment_average_exposure,segment_total_fee_cost,segment_trade_count,segment_average_drawdown,segment_pct_position_gt_0,segment_pct_position_gt_0_05,segment_pct_position_gt_0_10,segment_pct_position_gt_0_20,segment_pct_rho_gt_0_5,segment_trend_persistence_gate_mean,segment_trend_persistence_gate_median,segment_pct_gate_eq_0,segment_pct_gate_gt_0,segment_pct_gate_gt_0_5,segment_base_exposure_C_mean,segment_base_exposure_E_mean,segment_exposure_reduction_from_gate_mean,gross_position_return,net_strategy_return,total_fee_cost,fee_drag,average_position_when_market_return_negative,average_position_when_market_return_positive,total_pnl_from_negative_return_days,total_pnl_from_positive_return_days
pnl_attribution,reset_state_segment_metrics,0.0,fixed_0_5_exposure,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,,,,,,,,,0.07538544319173113,-0.1085258250785669,0.0,0.18391126827029802,0.5,0.4986376021798365,-5.865245272240234,5.940630715431966
segment_metrics,reset_state_segment_metrics,0.0,fixed_0_5_exposure,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.2873874051005849,0.0878518433765465,0.3778080637128194,0.42063302859612667,0.5,0.4995433789954338,0.0,1.0,0.12603256018259693,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,fixed_0_5_exposure,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,,,,,,,,,0.410286619305075,0.2873874051005849,0.0,0.12289921420449007,0.49907235621521334,0.5,-6.183178796978112,6.593465416283188
segment_metrics,reset_state_segment_metrics,0.0,fixed_0_5_exposure,ETH_5y_full,2021-05-18,2026-05-16,1825,0.14088536915610428,0.026711442424711462,0.5193367154482997,0.2571294259174581,0.5,0.4997260273972603,0.0,1.0,0.21350644332799326,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,fixed_0_5_exposure,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,,,,,,,,,0.479758124489145,0.14088536915610428,0.0,0.33887275533304073,0.5,0.49945828819068255,-12.054338007226008,12.534096131715152
segment_metrics,continuous_state_segment_metrics,0.001,v4.2_candidate_C,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.0866577077425128,-0.0443105670472822,0.13557061788483427,-0.40644700404317363,13.223777307366236,0.0675206094191596,0.012686945090355844,320.0,0.09147772174367982,0.4123287671232877,0.36027397260273974,0.27534246575342464,0.14520547945205478,0.37945205479452054,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.001,v4.2_candidate_C,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,,,,,,,,,-0.06751037389365194,-0.0866577077425128,0.012686945090355844,0.01914733384886086,0.07363100983815211,0.061476807369856376,-0.7539058302978312,0.6863954564041792
segment_metrics,continuous_state_segment_metrics,0.001,v4.2_candidate_C,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.15345709815411035,0.04873834802733468,0.14993617929036385,0.583603890416003,18.28894803541482,0.07372974590651202,0.01830104528964823,522.0,0.10133783775647497,0.4392694063926941,0.3680365296803653,0.29315068493150687,0.13515981735159818,0.554337899543379,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.001,v4.2_candidate_C,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,,,,,,,,,0.17264628487755193,0.15345709815411035,0.01830104528964823,0.01918918672344158,0.0726787345702345,0.0747486220040904,-0.897158105815298,1.06980439069285
segment_metrics,continuous_state_segment_metrics,0.001,v4.2_candidate_C,ETH_5y_full,2021-05-18,2026-05-16,1825,0.05350115004874456,0.01047832634119894,0.14993617929036385,0.1587648870061045,31.512725342781053,0.07124609131157104,0.030987990380004073,842.0,0.09739379135135691,0.4284931506849315,0.3649315068493151,0.286027397260274,0.13917808219178082,0.4843835616438356,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.001,v4.2_candidate_C,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,,,,,,,,,0.10513591098389999,0.05350115004874456,0.030987990380004073,0.05163476093515543,0.07306196730000622,0.0694715299447579,-1.6510639361131294,1.7561998470970293
segment_metrics,continuous_state_segment_metrics,0.001,v4.2_candidate_D,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.08675900995848063,-0.044363568064967884,0.13500892197939163,-0.40730732884569654,13.07462846635336,0.06767119215206063,0.012542588936322385,274.0,0.0911983360003927,0.40684931506849314,0.36164383561643837,0.27808219178082194,0.14520547945205478,0.37534246575342467,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.001,v4.2_candidate_D,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,,,,,,,,,-0.06778194594371074,-0.08675900995848063,0.012542588936322385,0.01897706401476988,0.07383695504633069,0.06157263103320496,-0.7543272445218379,0.6865452985781271
segment_metrics,continuous_state_segment_metrics,0.001,v4.2_candidate_D,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.15099035761041435,0.0479902168280979,0.14999388449254658,0.5765544984921022,17.72470272871546,0.07363178862359006,0.017722614751923174,411.0,0.10153004204462347,0.502283105022831,0.36712328767123287,0.29315068493150687,0.13515981735159818,0.5589041095890411,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.001,v4.2_candidate_D,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,,,,,,,,,0.16989198640257136,0.15099035761041435,0.017722614751923174,0.01890162879215701,0.07260794575809623,0.07462432694103822,-0.8970218745718289,1.0669138609744004
segment_metrics,continuous_state_segment_metrics,0.001,v4.2_candidate_D,ETH_5y_full,2021-05-18,2026-05-16,1825,0.0511315737123772,0.010023355280415203,0.14999388449254658,0.15400210057669947,30.799331195068824,0.07124755003497828,0.030265203688245555,685.0,0.09739735962693116,0.4641095890410959,0.3649315068493151,0.28712328767123285,0.13917808219178082,0.48547945205479454,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.001,v4.2_candidate_D,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,,,,,,,,,0.1021100404588606,0.0511315737123772,0.030265203688245555,0.0509784667464834,0.07310254705701985,0.06943475771224644,-1.6513491190936669,1.7534591595525275
