fee_rate,strategy_name,segment_name,drawdown_threshold,episode_start_date,episode_end_date,max_drawdown_in_episode,average_tau_during_episode,average_position_during_episode,average_base_exposure_during_episode,average_unsmoothed_target_during_episode,average_market_risk_multiplier_during_episode,average_portfolio_risk_multiplier_during_episode,days_until_position_halved_from_episode_start,days_until_position_below_0_05_from_episode_start
0.0,v4.2_candidate_D,ETH_extra_early_2y,0.1,2022-08-03,2022-08-04,0.10064725405850106,0.2556023118208729,0.05724762361760219,0.17289145757874763,0.053187547272104035,0.5,0.6232612298501378,,1.0
0.0,v4.2_candidate_D,ETH_extra_early_2y,0.1,2022-08-06,2022-08-06,0.10004624627629777,0.363875356968544,0.09254963493420733,0.29319484107616,0.09254963493420733,0.5,0.6248265764638834,,
0.0,v4.2_candidate_D,ETH_extra_early_2y,0.1,2022-08-09,2022-08-09,0.10123150644281165,0.36288214519741185,0.0901904718767713,0.2920912724415687,0.0901904718767713,0.5,0.6203818508394563,,
0.0,v4.2_candidate_D,ETH_extra_early_2y,0.1,2022-08-19,2023-01-13,0.13084034300447434,-0.15582620133794503,0.019025123129940324,0.05911479261271626,0.01902697177955662,0.5153787455892491,0.5413738472343604,0.0,0.0
0.0,v4.2_candidate_D,ETH_extra_early_2y,0.1,2023-01-18,2023-01-19,0.10715188482646376,0.7438114191422958,0.25087289576896565,0.7153460212692175,0.25087289576896565,0.5588362485416207,0.6083661174740134,,
0.0,v4.2_candidate_D,ETH_extra_early_2y,0.1,2023-01-24,2023-01-24,0.10100470727148447,0.6424767331966584,0.18191326178912892,0.6027519257740649,0.18191326178912892,0.5087367519129372,0.6212323477319333,,
0.0,v4.2_candidate_D,ETH_extra_early_2y,0.1,2023-01-28,2023-01-28,0.10018029075285495,0.6424149924110027,0.19497351984250835,0.6026833249011142,0.19497351984250835,0.5432785579951929,0.624323909676794,,
0.0,v4.2_candidate_D,ETH_extra_early_2y,0.1,2023-01-30,2023-01-31,0.10275696780357813,0.5665005078882753,0.15394403589822203,0.5183338976536392,0.15394403589822203,0.5022546066056285,0.6176185750764208,,
0.0,v4.2_candidate_D,ETH_extra_early_2y,0.1,2023-02-09,2023-04-12,0.12026534639271891,0.3765280578263585,0.10443875837220673,0.3361129440538659,0.10408056166682675,0.5294299629078405,0.5759875152094681,1.0,1.0
0.0,v4.2_candidate_D,ETH_extra_early_2y,0.1,2023-04-19,2023-05-17,0.12216934528946677,0.1645356453430718,0.036172169963753824,0.11929124338099718,0.03490717618524863,0.5486634809468524,0.5559333194174509,2.0,2.0
0.0,v4.2_candidate_D,ETH_3y_recent,0.05,2023-05-18,2024-02-26,0.1420815497821023,0.14067760774503804,0.0837565375190748,0.24018504660133136,0.08333660082568213,0.6286323467968834,0.5302980467004459,0.0,0.0
0.0,v4.2_candidate_D,ETH_3y_recent,0.05,2024-03-16,2025-07-16,0.11400491642840827,-0.03505345419827825,0.054224079692321125,0.15906655929760818,0.054303398509408955,0.5124752266330801,0.6220980468506894,3.0,3.0
0.0,v4.2_candidate_D,ETH_3y_recent,0.05,2025-08-02,2025-08-02,0.05111829192214179,0.6070966702963483,0.19707131460861874,0.5634407447737203,0.19707131460861874,0.5,0.8083064052919683,,
0.0,v4.2_candidate_D,ETH_3y_recent,0.05,2025-08-19,2025-08-19,0.05669846432166903,0.6254927849593537,0.20613486024480585,0.5838808721770596,0.20613486024480585,0.5,0.7873807587937411,,
0.0,v4.2_candidate_D,ETH_3y_recent,0.05,2025-08-21,2025-08-21,0.051169848035236054,0.6681641174077375,0.2403187016577182,0.6312934637863751,0.2403187016577182,0.5,0.8081130698678648,,
0.0,v4.2_candidate_D,ETH_3y_recent,0.05,2025-08-25,2025-08-25,0.05087043508417799,0.5457431882242483,0.18927619580466756,0.49527020913805364,0.18927619580466756,0.5,0.8092358684343326,,
0.0,v4.2_candidate_D,ETH_3y_recent,0.05,2025-08-29,2025-09-11,0.05786136489820637,0.4810215739457739,0.16024387199723625,0.4233573043841933,0.1619155765000951,0.5,0.7943171127971744,,
0.0,v4.2_candidate_D,ETH_3y_recent,0.05,2025-09-15,2025-09-16,0.0514493482673718,0.5470836985692547,0.1960023700860523,0.4967596650769496,0.1960023700860523,0.5,0.8088434395185271,,
0.0,v4.2_candidate_D,ETH_3y_recent,0.05,2025-09-19,2026-05-16,0.09559686116999566,-0.23403450595158323,0.019045155414294388,0.04761771212345734,0.01885575988647031,0.5213590901846906,0.7098786598382686,3.0,3.0
0.0,v4.2_candidate_D,ETH_3y_recent,0.1,2023-05-18,2023-12-04,0.1420815497821023,-0.007952037250127046,0.04964342257253643,0.15003031935437602,0.04905105502741918,0.6597198306720115,0.5015006874823416,0.0,0.0
0.0,v4.2_candidate_D,ETH_3y_recent,0.1,2023-12-06,2023-12-06,0.10622588596797766,0.739917918083134,0.24830346783416807,0.71101990898126,0.24830346783416807,0.5690679310514772,0.6016529276200837,,
0.0,v4.2_candidate_D,ETH_3y_recent,0.1,2023-12-11,2024-02-13,0.12058936742371296,0.39815228723698926,0.11459258719893545,0.3513743702192787,0.11457037746427798,0.5491255012783344,0.5746829304745332,23.0,23.0
0.0,v4.2_candidate_D,ETH_3y_recent,0.1,2024-06-11,2024-11-08,0.11400491642840827,-0.23195036172139458,0.009362704726172207,0.02725305162360651,0.009429900546334483,0.5376270861371447,0.596943256086922,0.0,0.0
0.0,v4.2_candidate_D,ETH_3y_recent,0.1,2024-11-14,2024-11-17,0.10444020916572683,0.5436227656722172,0.15051944692107874,0.49291418408024135,0.15051944692107874,0.5,0.6128972643054946,,
0.0,v4.2_candidate_D,ETH_3y_recent,0.1,2024-11-19,2024-11-20,0.10551516719310583,0.503483571568526,0.13277516566038455,0.44831507952058436,0.13277516566038455,0.5,0.6071861932191244,,
0.0,v4.2_candidate_D,ETH_3y_recent,0.1,2025-01-07,2025-05-09,0.10713074525027155,-0.45518584363807,0.0026878503078491224,0.007860791859300047,0.0026878503078491224,0.500476035788916,0.5988824782650398,0.0,0.0
0.0,v4.2_candidate_D,ETH_3y_recent,0.1,2025-06-05,2025-06-08,0.10315310973007386,0.37150453590395105,0.0913534801024284,0.3016717065599456,0.08923033898272527,0.5,0.6189164278684784,,
0.0,v4.2_candidate_D,ETH_3y_recent,0.1,2025-06-13,2025-07-09,0.10895105989011633,0.20979284665923453,0.04623283340750538,0.15726910482223383,0.04794572876157848,0.5,0.6053238337407927,7.0,7.0
0.0,v4.2_candidate_D,ETH_5y_full,0.05,2021-05-19,2021-07-31,0.0554744049753042,-0.3298036698055859,0.0046186642858642565,0.010616746770414938,0.004686403433171878,0.5,0.7923274103958116,0.0,0.0
0.0,v4.2_candidate_D,ETH_5y_full,0.05,2021-08-03,2021-08-03,0.053020746663100304,0.37712403971348923,0.12815617715741182,0.30791559968165466,0.12815617715741182,0.5,0.8011722000133739,,
0.0,v4.2_candidate_D,ETH_5y_full,0.05,2021-09-07,2021-09-07,0.05328088948350396,0.4310913129854109,0.2060060496700441,0.3678792366504566,0.13504313849667768,0.5,0.8001966644368601,,
0.0,v4.2_candidate_D,ETH_5y_full,0.05,2021-09-09,2021-10-19,0.07076456595892111,0.25567862955500364,0.0956386412736165,0.2441349139516154,0.09550969531333418,0.5,0.7575841355016192,1.0,1.0
0.0,v4.2_candidate_D,ETH_5y_full,0.05,2021-10-22,2021-10-22,0.05434117932759874,0.6045718276890182,0.2239688977035024,0.5606353640989091,0.2239688977035024,0.5,0.7962205775215048,,
0.0,v4.2_candidate_D,ETH_5y_full,0.05,2021-10-27,2021-10-27,0.059870299128529814,0.48037705919199636,0.15497833232266314,0.422641176879996,0.15497833232266314,0.5,0.7754863782680133,,
0.0,v4.2_candidate_D,ETH_5y_full,0.05,2021-11-16,2024-02-26,0.1420815497821023,0.00268611983605648,0.06019651532685092,0.17536370886267877,0.05999848454786417,0.5523090264767103,0.5895370111401137,2.0,2.0
0.0,v4.2_candidate_D,ETH_5y_full,0.05,2024-03-16,2025-07-16,0.11400491642840827,-0.03505345419827825,0.054224079692321125,0.15906655929760818,0.054303398509408955,0.5124752266330801,0.6220980468506894,3.0,3.0
0.0,v4.2_candidate_D,ETH_5y_full,0.05,2025-08-02,2025-08-02,0.05111829192214179,0.6070966702963483,0.19707131460861874,0.5634407447737203,0.19707131460861874,0.5,0.8083064052919683,,
